id,seq,start,end,label,rgb_degradation,tir_usable,target_visible,notes
01,walkingnight,405,416,A-,low_light_blur,yes,yes,RGB夜间暗且目标边缘弱；TIR保留人体热轮廓但也偏模糊
02,walkingnight,198,203,A-,low_light_blur,yes,yes,RGB暗且纹理弱；TIR目标轮廓较稳定
03,walkingman,0,19,B,low_light_blur,partial,yes,RGB低照度但TIR目标不够清楚；可复核不进主集
04,walkingnight,296,353,A-,low_light_blur,yes,yes,长片段夜间低照度/模糊；TIR仍有人体热区域
05,walkingnight,365,371,A-,low_light_blur,yes,yes,RGB暗且目标细节弱；TIR人体区域更稳定
06,walkingnight,381,388,A-,low_light_blur,yes,yes,RGB夜间目标暗且边缘弱；TIR人体轮廓更稳定
07,walkingtogetherright,32,43,C,mild_blur,weak,yes,RGB目标仍较清楚；TIR互补性一般
08,woman4,163,176,B,mild_blur,partial,yes,RGB有一定模糊但目标仍可见；TIR不够集中
09,walkingman12,142,180,C,none_or_mild,yes,yes,RGB目标相对清楚；不像RGB局部退化
10,walkingnight,288,293,A-,low_light_blur,yes,yes,RGB夜间暗且目标细节弱；TIR仍保留人体热轮廓
11,walkingman1,279,285,A,motion_blur,yes,yes,RGB明显运动模糊；TIR人体轮廓可用
12,woman4,266,273,B,mild_blur,partial,yes,RGB和TIR均一般；互补性不够强
13,woman4,251,262,B,mild_blur,partial,yes,RGB轻中度模糊；TIR可见但优势不明显
14,walkingtogetherright,58,68,C,none_or_mild,weak,yes,RGB目标仍清楚；TIR弱
15,walkingman1,195,247,A,motion_blur,yes,yes,RGB持续强运动模糊；TIR人体轮廓较稳定
16,woman4,179,213,B,mild_blur,partial,yes,RGB有模糊但不够局部/明确；TIR一般
17,walkingman12,483,494,C,none_or_mild,yes,yes,RGB目标较清楚；不符合RGB退化主条件
18,womaninblackwithbike,384,409,C,global_artifact,no,unclear,RGB/TIR都有严重横向条纹或整体质量问题；不能证明TIR互补
19,walkingtogetherright,81,90,C,none_or_mild,weak,yes,RGB仍较清楚；TIR互补性弱
20,walkingman1,133,181,A,motion_blur,yes,yes,RGB明显运动模糊；TIR仍有人体热轮廓
21,walkingtogetherright,537,548,C,none_or_mild,weak,yes,RGB目标仍较清楚；TIR弱
22,walkingman1,64,87,A,motion_blur,yes,yes,RGB明显运动模糊；TIR人体热轮廓可用
23,woamn46,0,6,C,none_or_mild,weak,yes,目标/退化不明确；RGB不是明显局部退化
24,walkingtogetherright,523,528,C,none_or_mild,weak,yes,RGB目标仍较清楚；TIR互补性弱
25,womaninblackwithbike,343,351,C,global_artifact,no,unclear,双模态条纹/整体质量问题明显；不适合作主验证
26,womanrun,460,465,C,none_or_mild,weak,yes,RGB目标仍较清楚；TIR不提供明确互补
27,woamn46,12,23,C,none_or_mild,weak,yes,RGB退化不明确且TIR目标弱
28,walking40,324,357,C,none_or_mild,yes,yes,RGB目标清楚；不像RGB局部自然退化
29,woamn46,70,74,C,none_or_mild,weak,yes,RGB目标较清楚；TIR互补性弱
30,womanrun,421,428,C,none_or_mild,weak,yes,RGB目标仍较清楚；TIR弱
